Recipient.Organization,deliverychannels
Development Initiatives Access Link,Other
Temporary International Presence in Hebron,Other
Association libanaise de l'Ordre de Malte,NGOs and CSOs
Centre pour enfants des rues de Bel-Air,Other
Rehabilitation and Research Centre for Torture Victims,NGOs and CSOs
LEAD Trust,Other
Holistic Management,NGOs and CSOs
EQUIP Liberia,NGOs and CSOs
The Swedish Fellowship of Reconciliation,NGOs and CSOs
OpÈration villages roumains,NGOs and CSOs
Children's Relief,NGOs and CSOs
Rainbow Gateway,Other
Norske Menneskerettighetsfond,NGOs and CSOs
Norsk forbund f. utv.hemmede,Other
Stiftelsen Menneskeret.Huset,Other
"Stavanger kommune, S¯lvberget KF Bibl.og kul",Other
Norske Pinsemenigheters Ytremisjon,NGOs and CSOs
Medicos en catastrofe (MEC),NGOs and CSOs
Islamic African Relief Agency,NGOs and CSOs
Education Action International,NGOs and CSOs
Catholic Church of Khartoum,NGOs and CSOs
Global Health Foundation,NGOs and CSOs
Fundacion de Beneficencia Capacitas,NGOs and CSOs
REDOG,Other
INFONOR,Other
ChildFund Ireland,NGOs and CSOs
Inuit Circumpolar Conference,NGOs and CSOs
Development Education Network for Liberia,NGOs and CSOs
United Nations Integrated Office in Sierra Leone,UN Multi
Alive and kicking,NGOs and CSOs
Planeta,NGOs and CSOs
SE-SINAPRED,Other
Suriname,Public Sector
Voluntariado Internacional para o Desenvolvimento Africano,NGOs and CSOs
Danish Refugee Council/ICVA,NGOs and CSOs
Suriname Red Cross,RCRC
ESPE,Other
FERT,Other
Memorial Human Rights Centre,Other
United Missions Mission in Liberia Irish Battalion,UN Multi
I-LIFE,Other
Association pour la SantÈ Familiale (ASF),NGOs and CSOs
Antenna Technologies Grands Lacs (ATGL),NGOs and CSOs
Bureau des ≈ìuvres mÈdicales diocÈsaines (BDOM),NGOs and CSOs
"DOCS HEAL AFRICA, Goma",NGOs and CSOs
Alternative/SCF-UK,NGOs and CSOs
Nile People's Peace Conference,NGOs and CSOs
Service Social International,NGOs and CSOs
CommunautÈ EvangÈlique au Kwango (CEK),NGOs and CSOs
Federation des ONG laiques Ì† Vocation Economique du Congo,NGOs and CSOs
Maltese Aid Agency,Public Sector
"Erikshj‰lpen, Sweden",NGOs and CSOs
European Agency for Reconstruction,Public Sector
Children Assistance Programme,NGOs and CSOs
PA_05,Other
ISPED,NGOs and CSOs
PUMP AID,NGOs and CSOs
Proximity Designs (formerly International Development Enterprises),Other
World Agroforestry Centre,NGOs and CSOs
Parliamentarians for Global Action,NGOs and CSOs
Initiative Congolaise pour la Gestion autonome des populations,NGOs and CSOs
SOCIETE DE COOPERATION POUR LE DEVELOPPEMENT DE FIZI  (SOCOODEFI),NGOs and CSOs
Swedish Refugee Aid,NGOs and CSOs
International Peace Building Alliance/WSP International,Other
UN Voluntary Trust Fund for Technical Cooperation,UN Multi
Marsh Arabs,Other
Armenian Relief Society,NGOs and CSOs
France,Public Sector
GDPI,Other
Hope for the Horn,NGOs and CSOs
Pastoralist Concern Association Ethiopia,NGOs and CSOs
Sharaja,Other
Ethiopian Muslims Relief and Development Association,NGOs and CSOs
Magen David Adom,NGOs and CSOs
Living Waters,NGOs and CSOs
Arcenciel,NGOs and CSOs
Community Technology Development Trust,NGOs and CSOs
Community Development Trust,NGOs and CSOs
Firemen without Borders,NGOs and CSOs
Glencree Centre for Peace and Reconciliation,NGOs and CSOs
Landmine Action,NGOs and CSOs
Syrisk Orthodox Church Sweden,NGOs and CSOs
Deniz Feneri Association,NGOs and CSOs
Turkish Kidney Foundation,NGOs and CSOs
Istanbul International Brotherhood and Assistance Association,NGOs and CSOs
WA-UK,NGOs and CSOs
Indivduell MÌ†nniskohjÌ†lp - Swedish NGO,NGOs and CSOs
Seestern e.V.,NGOs and CSOs
MIC EU Civil Protection,Public Sector
Christian Children's Fund  / Adventis Development And Relief Agency,NGOs and CSOs
Swedish Alliance Mission,NGOs and CSOs
Stiftelsen Oljeberget,NGOs and CSOs
Programme for Emergency Education and Reconstruction,Other
Norsk Fredssenter,NGOs and CSOs
International Maritime Organization,UN Multi
Bolivian Red Cross,RCRC
Eurest Personalrestauranter AS,Other
Det norske Misjonsforbund,NGOs and CSOs
HH-SKH,Other
HAMOKED/CNTR DEF.OF INDIVIDUAL,NGOs and CSOs
Next Step AS,Other
Dissimilis kult.og komp.senter,Other
Cleared Ground Demining Ltd.,NGOs and CSOs
Libyan Relief Committee,Other
Str¯mmestiftelsen - UD-tilskudd,Other
PARTNERS,Other
Canada International Demining Corps,NGOs and CSOs
HEALTH UNLIMITED,NGOs and CSOs
International Agricultural Research Center,NGOs and CSOs
Planning and Development Collaborative International,NGOs and CSOs
International Criminal Tribunal for Rwanda,Other multi
asociacion para la cooperacion con el sur,NGOs and CSOs
ASASE,NGOs and CSOs
ˆKO HIMAL,Other
Mission Austria - P‰pstliche Missionswerke in ˆsterreich,NGOs and CSOs
Bureau DiocÈsain de DÈveloppement de Kindu (BDD/KINDU),NGOs and CSOs
CEMUBAC (Belgian medical NGO),NGOs and CSOs
INDE - IntercooperaÁao e Desenvolvimento (Portuguese NGO),NGOs and CSOs
GCIDS,Other
DIA,Other
Fˆnix Special Rescue Team,NGOs and CSOs
Sanitary of Epidemiological Station,Other
United Nations Mediation Support Unit,UN Multi
United Nations Mine Action Coordination Center (DRC),UN Multi
Ministry of Rural Rehabilitation and Development Afghanistan,Public Sector
UN Human Security Trust Fund,UN Multi
United Nations Committee on Missing Persons,UN Multi
Association pour la protection de l'enfant de la guerre,NGOs and CSOs
Association Notre Dame de Protection,Other
Association pour les enfants oubliÈs,Other
PËre Jaar,Other
UNITEC,Other
ALDHU - Latin American Association for Human Rights,NGOs and CSOs
Regional Centre Small Arms Light Weapons,NGOs and CSOs
UN Technical Cooperative Activities,UN Multi
Nobels Fredssenter,NGOs and CSOs
Keren Hayesod,Other
Peruvian Red Cross,RCRC
World Research Foundation,NGOs and CSOs
Palestinakomiteen i Norge,NGOs and CSOs
National Development Organization,Other
ROKPA,NGOs and CSOs
United Nations Humanitarian Information Centre,UN Multi
Solidarites-Belgium,NGOs and CSOs
Association Internationale des Soldats de la Paix,NGOs and CSOs
Syrian Orthodox Church,NGOs and CSOs
Diocese de Hwange,NGOs and CSOs
Custodia Franciscana en Tierra Santa,NGOs and CSOs
Central Ecuatoriana de Servicios Agricolas,NGOs and CSOs
Trosgnistans Mission,NGOs and CSOs
The Mission Covenant Church of Sweden,NGOs and CSOs
JP Morgan Chase,Other
International Center for Integrated Mountain Development,NGOs and CSOs
"Seismic Research Unit, Univ. of West Indies",NGOs and CSOs
Pan American Health and Education Foundation,NGOs and CSOs
Tzu Chi Foundation,NGOs and CSOs
"Episcopal Conference, Peru",NGOs and CSOs
Saga Falabella,Other
Cooperation Andina de Fomento,Other multi
Missionnaires du Divin MaÓtre/Shabunda,Other
Fondation Femmes plus,NGOs and CSOs
CRAFOD,NGOs and CSOs
Chinese Community in Peru,Other
Intl Humanitarian Org World View,NGOs and CSOs
"National Fishery Society, Peru",Other
PUNTO SUD,NGOs and CSOs
Santa Isabel Market,Other
Centre for Safety and Development,NGOs and CSOs
ADU_04,Other
Docs Heal Africa,NGOs and CSOs
DWF,Other
Enfants des riziËres,NGOs and CSOs
Gamarra's Merchant Commission,Other
International Partnership for Human Development,NGOs and CSOs
UNDG Iraq Trust Fund,UN Multi
Andean Development Corporation,Other multi
Diplomatische Akademie Wien,NGOs and CSOs
ACT Alliance / Diakonie Austria,NGOs and CSOs
Luchetti,Other
Wadi,NGOs and CSOs
BMaA,Other
American Council for Voluntary International Action,NGOs and CSOs
Fundacion Paz - Holandesa,NGOs and CSOs
KFUK/KFUM,NGOs and CSOs
World Agency of Planetary Monitoring and Earthquake Risk Reduction,NGOs and CSOs
PLANAT,Public Sector
AQUADEV,NGOs and CSOs
Backus y Cervesur,Other
Diocese of Padang,NGOs and CSOs
Jairos Jiri Association,NGOs and CSOs
St. Josephs Care and Support Trust at Sizanani Village,NGOs and CSOs
Horizonte Logico,NGOs and CSOs
University of Capetown,NGOs and CSOs
Human Rights Watch,NGOs and CSOs
CFD,Other
DF Young Inc.,Other
Observatorio San Calixo,NGOs and CSOs
Centro d'Informazione e Educazione allo Sviluppo,NGOs and CSOs
ALICORP,Other
Boston Archiepiscopal Diocese,NGOs and CSOs
Lima Airport Partners,Other
Peru Rail,Other
Peruvian Private Enterprise Colchones Paraiso,Other
Ripley,Other
VETAID,NGOs and CSOs
Africa Muslims Agency (Johannesburg),NGOs and CSOs
African Rescue Committee,NGOs and CSOs
Humanitarian Action for Relief and Development Organisation,NGOs and CSOs
Swedish Covenant Mission,NGOs and CSOs
Association franÁaise pour la prÈvention des catastrophes naturelles,NGOs and CSOs
Mission Armenia,NGOs and CSOs
Al Zubair Charity Organisation,NGOs and CSOs
Oxford University,NGOs and CSOs
Press Trust / IDI,Other
"Universidad Nacional a Distancia, Costa Rica",NGOs and CSOs
AGROSPHERE,NGOs and CSOs
ASEP,Other
The Sisters of Charity,NGOs and CSOs
Consolata Sisters,NGOs and CSOs
Franciscan Missionary of Mary,NGOs and CSOs
GRT,Other
SERVICE INT. POUR LES DROITS DE L HOMME,Other
The Southasia Trust,NGOs and CSOs
Point of Peace,NGOs and CSOs
SERVICIO PAZ Y JUSTICIA,Other
Coordinadora Nacional para la Reduccion de Desastres,Public Sector
Sudan Social Development Organization,NGOs and CSOs
"Central Asian Free Exchange, USA",NGOs and CSOs
"Joint Development Associates, USA",NGOs and CSOs
RCO,Other
"Landsorganisasjonen i Norge, 3",NGOs and CSOs
Evangelical Fellowship of India Commission on Relief,NGOs and CSOs
Oxfam India,NGOs and CSOs
Project Aparajita - VHAI,NGOs and CSOs
Concern India,NGOs and CSOs
Catholic Mission,NGOs and CSOs
Tambanevana Children's Association,Other
Instituto Cabo Verdiano de Accao Social Escolar,NGOs and CSOs
Taiwan Grassroots Women Workers' Centre,NGOs and CSOs
ISP IN AFRICA,Other
LH/ACT,Other
Refugee Trust,NGOs and CSOs
BlÈs du dÈsert,NGOs and CSOs
Berkat,NGOs and CSOs
Civic Assistance Committee,NGOs and CSOs
Equilibre,NGOs and CSOs
"Zodiac of North America, Inc.",Other
Aviation Sans Frontieres France,NGOs and CSOs
International Foundation for Education and Self Help,NGOs and CSOs
KESI,RCRC
International Center for Agricultural Research in Dry Areas,NGOs and CSOs
Alnour Wal Amal Association,NGOs and CSOs
UN Mission in Sierra Leone,UN Multi
STCH,Other
Energy Regulators Regional Association,NGOs and CSOs
Uzbekistan,Public Sector
PSO,Other
Chars Livelihoods Programme,NGOs and CSOs
JAGAN. L.A.,Other
Aerzte f¸r die Dritte Welt,NGOs and CSOs
Estonian Public Service Academy,Public Sector
ARESA,Other
The Church of Jesus Christ of Latter-Day Saints,NGOs and CSOs
Poland,Public Sector
Association Luxembourg PÈrou,NGOs and CSOs
Public Accounts Committee,NGOs and CSOs
Christian Friends of Korea,NGOs and CSOs
Medical Assistance Programs International,NGOs and CSOs
Foundation Vida Peru,NGOs and CSOs
DROPS,NGOs and CSOs
Saint Lucia,Public Sector
World Vision Angola,NGOs and CSOs
ACT Alliance / Christian Commission for Development in Bangladesh,NGOs and CSOs
SIM Canada,NGOs and CSOs
Singapore International Foundation,NGOs and CSOs
World Vision Hong Kong,NGOs and CSOs
H¯yskolen i Buskerud,NGOs and CSOs
Norway,Public Sector
De Norske Pinsemenigheters Ytremisjon,NGOs and CSOs
CENTER FOR JUSTICE AND INT. LAW,NGOs and CSOs
"Centre de Recherche en Astronomie, Astrophysique et Geophysique",NGOs and CSOs
Samusocial Peru,NGOs and CSOs
Citizens Network for Foreign Affairs,NGOs and CSOs
Kings College London,NGOs and CSOs
Cluster Munition Coalition,Other multi
Normeca AS,Other
Commission d'Entraide pour les Migrants et les Refugies International,NGOs and CSOs
Agence d'Assistance aux Rapatries et Refugies au Congo,NGOs and CSOs
Inglesia Morava,Other
Mision para Cristo,NGOs and CSOs
Norges Juristforbund,Other
Samis,Other
Thue & Selvaag AS,Other
Helse Bergen HF,NGOs and CSOs
Psykisk Helsevern Ìòstfold HF v/ Norum,NGOs and CSOs
Abo Akademi University,NGOs and CSOs
"Steenfeldt-Foss, O. W.",Other
Colombia Campaign to Ban Landmines,NGOs and CSOs
"Sunnaas sykehus HF, Forskningsavdelingen",NGOs and CSOs
Barneombudet,NGOs and CSOs
Skeiv Solidaritet,NGOs and CSOs
Evangelical Children Rehabilitation Programme,NGOs and CSOs
Geneva Forum,UN Multi
Alola Foundation,NGOs and CSOs
INST. UNIV. DE HAUTES ETUDES INT.,NGOs and CSOs
Light Force International,NGOs and CSOs
Lion Aid,NGOs and CSOs
Humanitarian Aid Relief Trust,NGOs and CSOs
Interpeace,Other
Women for Women International,NGOs and CSOs
Togo,Public Sector
Koperativ Agrikol Tibiwon,Other
GEAD,NGOs and CSOs
OCHA NGO Funds,NGOs and CSOs
Verein Lichtblick,NGOs and CSOs
Italian Consortium of Solidarity,NGOs and CSOs
Al Anbar Center for Humanitarian Relief,Other
Todya Organization,Other
Iraqi Relief Organisation,Other
Al Afran Media and Culture,Other
Sada Al Irak Organisation,NGOs and CSOs
Charitable Society for Caring and Rehabilitation Iraqi Children,NGOs and CSOs
Kids and Women Organization,Other
Orphans and Divorced Rights Association,Other
Foundation of the United for Relief and Adiding Development,Other
Tammuz Organizataion for Social Development,NGOs and CSOs
Democratic Iraqi Women Group,NGOs and CSOs
Iraqi Southern Sun Association,Other
Al-Yousser Organization for Assistance & Rehabilitation Assistance & Rehabilitation Assistance & Rehabilitation,Other
New Iraqi Woman Organization,NGOs and CSOs
The Iraqi International Association for Civil Society,Other
Child's Earth Society in Iraq,NGOs and CSOs
Coordination Institute Humanitarian,Other
Human Right Center in Iraq,NGOs and CSOs
Humanity Brotherhood Association  for Human Rights,NGOs and CSOs
Disabled Children's Care Organization,NGOs and CSOs
Shining Future Humanitarian Organization,NGOs and CSOs
Knowledge for Iraqi Women Society,NGOs and CSOs
University of Nebraska,NGOs and CSOs
"Paradigm of Consciousness Ministries, Inc.",NGOs and CSOs
SCD-RB,Other
Organization for Security & Cooperation in Europe,Other multi
BID,Other
United Methodist Church,NGOs and CSOs
United Nations International Research and Training Institute for the Advance of Women,UN Multi
Catholic Commisssion for Justice and Peace,NGOs and CSOs
DENAL,Other
Irish Centre for Human Rights,NGOs and CSOs
CINS -  Cooperazione Italiana Nord Sud,NGOs and CSOs
CARE and SC/US,NGOs and CSOs
Youth Alliance in Karamoja,NGOs and CSOs
African Child Outreach Trust,NGOs and CSOs
Emergency Action Uganda,Other
Visions in Action,NGOs and CSOs
International Institute of Rural Reconstruction,NGOs and CSOs
Temele Development Organisation,NGOs and CSOs
Dutch International Aid,Public Sector
MANNA,NGOs and CSOs
Children's Fund of North Ossetia,NGOs and CSOs
Key Stone,Other
Schools Association for Formal Education,Other
Somali Education and Health Organisation,NGOs and CSOs
Private Voluntary Organizations,Other
SC/US and World Vision,Other
UN Committee on Missing Persons,UN Multi
UN Institute,UN Multi
Panzi Hospital,Other
OXFAM Hong Kong,NGOs and CSOs
Association of Chinese Evangelical Ministry Limited,Other
Joint Mediation Support Team,Other
Afghan Reconstruction Trust Fund,Other multi
Danish Institute for Human Rights,NGOs and CSOs
SANOFI,Other
Barbados,Public Sector
Bhutan,Public Sector
Gabon,Public Sector
Swaziland,Public Sector
Trinidad and Tobago,Public Sector
Iraqi Youth League,NGOs and CSOs
Cedar Fund,Other
Himalayan Human Rights Monitors,NGOs and CSOs
"Institute of Human Rights Communication, Nepal",NGOs and CSOs
Rural Reconstruction Nepal,NGOs and CSOs
Hedwin Corporation,Other
"Pro Pac, Inc.",Other
Global Resource Services,NGOs and CSOs
Miloserdie (Mercy),NGOs and CSOs
Hunger Alert,NGOs and CSOs
Hadia Medical,NGOs and CSOs
FundaciÛn Apoyar,NGOs and CSOs
CHAINES,Other
ZAYED Foundation,NGOs and CSOs
Sovereign Military Order of Malta,NGOs and CSOs
Home for Human Rights,NGOs and CSOs
Non Violent Peace Force Sri Lanka,Other
Rural Development Foundation,NGOs and CSOs
Sewa Lanka Foundation,NGOs and CSOs
SOLIDAR INGO CONSORTIUM,NGOs and CSOs
Global Rights,NGOs and CSOs
Impact Forum Norway,NGOs and CSOs
AGEF,NGOs and CSOs
"International Pen, Writers in Prison Committee",NGOs and CSOs
Forsvarets forskningsinstitutt,Public Sector
Den norske Advokatforening,NGOs and CSOs
"Landsorganisasjonen i Norge, internasj. sekret.",Other
Community Trust Fund,NGOs and CSOs
CARITAS TCHUMBE,NGOs and CSOs
Action pour le DÈveloppement IntÈgral au Kivu,NGOs and CSOs
CESADEMA,Other
Responsive,Other
ASSOCIATION MEDICALE FRANCO-ASIATIQUE,NGOs and CSOs
Candle Light,NGOs and CSOs
ABC Children's Aid,NGOs and CSOs
International Security Sector Advisory Team,NGOs and CSOs
Front Line,NGOs and CSOs
FED. I. D. Ligues/Droits l'homme,NGOs and CSOs
NUPI - Norsk utenr.pol. inst.,NGOs and CSOs
"GRONSUND, STEIN OVE",NGOs and CSOs
Netherlands Refugee Foundation,NGOs and CSOs
NTNU,NGOs and CSOs
Regnskogfondet,NGOs and CSOs
African Commission Human and People's Rights,NGOs and CSOs
Coordinating Committee for Coastal and Offshore Geo. Progr. in East Southeast Asia,Other multi
Documentation Center of  Cambodia,NGOs and CSOs
The Bridge Fund,NGOs and CSOs
Defense for Children International,NGOs and CSOs
The Graduate Center,NGOs and CSOs
International News Safety Institute,NGOs and CSOs
Just Associates,NGOs and CSOs
Campagne Suisse Contre les Mines Antipersonnel,NGOs and CSOs
Norfund,Public Sector
Transparencia Venezuela,NGOs and CSOs
Centre d'action pour le dÈvÈloppement,NGOs and CSOs
International Fund for Agricultural Development,UN Multi
Arts for Peace,NGOs and CSOs
Volens,NGOs and CSOs
Hopital sans FrontiËres,NGOs and CSOs
Center for Human Rights and Democratic Participation,NGOs and CSOs
European Children's Trust,NGOs and CSOs
Coof Bamako,Other
Solidarit‰t Dritte Welt,NGOs and CSOs
Stiftung Kasipiti,NGOs and CSOs
Verein f¸r Aufbauhilfe Tambanevana,Other
Coof Ouagadougou,Other
Judicial System Monitoring Programme,Other
Avocats Sans Frontieres,NGOs and CSOs
Ba Futuru / For The Future,NGOs and CSOs
Cluster Munitions Conference,Other
Flakstad Kommune,Other
IDE Myanmar,NGOs and CSOs
China Association for NGO Cooperation,Other
EDM,Other
Comision EspanÙla de Ayuda al Refugiado,NGOs and CSOs
Italian Agency for Food Aid (AGEA),Public Sector
Right to Live Society,NGOs and CSOs
Faire Face,NGOs and CSOs
PARD,Other
GAAC,Other
Pentecostal Churches of Uganda,NGOs and CSOs
Linkage Trust,NGOs and CSOs
FSS,NGOs and CSOs
FundaciÛn Mi Sangre,NGOs and CSOs
SAACID,NGOs and CSOs
Asal Rural Development Organization,Other
ADRA/SCDO,NGOs and CSOs
Avenir pour les orphelins au Burundi,NGOs and CSOs
Global Humanitarian Forum,NGOs and CSOs
BDD BUKAVU,NGOs and CSOs
Action de lutte contre la pollution des sources et des puits,Other
Centre de DÈveloppement IntÈgral (CDI/Yakoma),NGOs and CSOs
Action pour le Bien Etre Communautaire (ABC),NGOs and CSOs
CEDI,NGOs and CSOs
ArmÈe du salut,NGOs and CSOs
ATDL BUKAVU,Other
CARITAS Mbandaka,NGOs and CSOs
EAUR,Other
DIOBASS,Other
MAAMS,Other
APPRONA,Other
ISJ,Other
Missionnaires du Divin MaÓtre,NGOs and CSOs
SADRI,Other
Arche de l'Alliance,NGOs and CSOs
Pain Pour Les DÈshÈritÈs (PPLD),Other
Unity and Cooperation for the Development of People,NGOs and CSOs
ERF Recipients,Other multi
Plan Timor-Leste,NGOs and CSOs
Chreso Ministries,NGOs and CSOs
CHA - Coordination of Humanitarian Assistance,NGOs and CSOs
Village Elders Group,Other
Somali Community Literacy Center,NGOs and CSOs
NIRAS,Other
Thai National AIDS Foundation,NGOs and CSOs
Janus e.V,NGOs and CSOs
National Center for the Prevention of HIV/AIDS,Other
Johor Community Development Committee for Women and Family Development,Other
Kriminalomsorg.utdanningssent,Other
H¯gskolen i Oslo,NGOs and CSOs
BOLHISPANIA,Other
Thirst No More,NGOs and CSOs
AMURT (Ananda Marga Universal Relief Team) (Switzerland),NGOs and CSOs
FGMed,NGOs and CSOs
German Development Service,Other
Sudan ERF,UN Multi
Kadugli Interfaith Coalition,NGOs and CSOs
Klaila Organisation,Other
Sudan Aid,NGOs and CSOs
Instituto de Estudios del Hambre,NGOs and CSOs
Sawaid Health Organization,NGOs and CSOs
Indesch Patenschaften,NGOs and CSOs
World Humanitarian Forum,Other
China Centre for Disease Control and ¬†Asia-Australia Mental Health,NGOs and CSOs
Belun,Other
"Ministry of Agriculture, Irrigation and Livestock Afghanistan",Public Sector
Gemeinn¸tzige Entwicklungszusammenarbeit GmbH (GEZA),NGOs and CSOs
Vereniging voor Personele Samenwerking Ontwikkelings-landen,NGOs and CSOs
Life International,NGOs and CSOs
Lao Red Cross,RCRC
STEP Afghanistan,Other
CIMIR- Fred Polk,Other
TrainAid International,NGOs and CSOs
World Pharmacists,NGOs and CSOs
International Human Rights Law Group,NGOs and CSOs
International Medical Support Services,Other
InterAct,NGOs and CSOs
International Humanitarian Service,NGOs and CSOs
CODEC,NGOs and CSOs
Nepal ERF,Other
Swedish Tibetan Society for School & Culture,NGOs and CSOs
APEDE,Other
The Hebrew University of Jerusalem,NGOs and CSOs
Den norske Tibet-komite,Other
Stichting World Federalist Movement,Other
World Conference on Religions for Peace,Other
SANAR YURDATAPAN  - FEA,Other
Geneva Institute for Human Rights,NGOs and CSOs
Kvekerhjelp,NGOs and CSOs
NÊringslivets Hovedorganisasjon,NGOs and CSOs
Norsk tamilsk helse organisasjon,Other
Medical Relief Society,NGOs and CSOs
Nordic Institute of Asian Studies,NGOs and CSOs
Norges Fredslag,Other
Comision de Derechos Humanos,NGOs and CSOs
"Kjemisk Forbund, Palestinagruppene",Other
EITI - Extractive Industry Transparency Initiative,Other multi
"Stavanger kommune, Litteraturfestivalen Kapittel06",Other
Protos,NGOs and CSOs
International Aid Hand,NGOs and CSOs
Institute for International Co-operation and Development,NGOs and CSOs
Association Humanitaire AKAMASOA,NGOs and CSOs
Organization Catholique Pour la Promotion Humaine,NGOs and CSOs
Valid Nutrition,NGOs and CSOs
RCT,Other
Open Doors,NGOs and CSOs
Archdiocese of Kisumu,NGOs and CSOs
Diocese of Eldoret,NGOs and CSOs
Catholic Diocese of Nakuru,NGOs and CSOs
EP-Team,Other
Catholic Diocese of Kericho,NGOs and CSOs
PIAL,Other
Council of Churches,NGOs and CSOs
Togolese Red Cross,RCRC
Lms Water Systems (France),Other
PACT Myanmar,NGOs and CSOs
ILR,Public Sector
Casals and Associates,Other
Deutscher Entwicklungsdienst,Public Sector
New Ireland PDC,Other multi
IICD - International Institute for Communication and Development,NGOs and CSOs
Institute of Development Studies,NGOs and CSOs
Human Concern International,NGOs and CSOs
Doctors Worldwide,NGOs and CSOs
Official Development Assistance,Other
CEVA Logistics,Other
Distribuidora Ambiente,Other
"FRAZIMA, S.A.",Other
FONKOZE,NGOs and CSOs
FUNDACION CIPPEC,NGOs and CSOs
AMMAN CENTER HUMAN RIGHTS STUDIES,NGOs and CSOs
Caritas Jerusalem,NGOs and CSOs
Rabbis for Human Rights,NGOs and CSOs
Mohamed Bin Rashid Al Maktoum Humanitarian and Charity Establishment,NGOs and CSOs
CARITAS MBUJIMAYI,NGOs and CSOs
Muslim Aid and GlobalMedic,NGOs and CSOs
Committee for the Palestinian Fund,Other
American Charities for Palestine,NGOs and CSOs
LIDEAS DRC,Other
Steps International,Other
Palestinian Peace Coalition,NGOs and CSOs
Centre spÈcialisÈ d'appui Ì† la promotion et Ì† la modernisation de l'ÈlÈvage,Other
Programme Against Malnutrition,NGOs and CSOs
DryLands Coordination Group,NGOs and CSOs
CICERO,Other
World Vision Sri Lanka,NGOs and CSOs
UniverSud-LiËge,NGOs and CSOs
Enfance Tiers Monde asbl,NGOs and CSOs
Swisspeace,NGOs and CSOs
EQUITAS - International Centre for Human Rights Education,NGOs and CSOs
Aramex International,Other
Rahma Islamic Relief Fund,NGOs and CSOs
Verdens Barn,NGOs and CSOs
FundaciÛn AMEPBO,Other
Pakistansk Velferdsorganisasjon Norge,Other
International Business Leaders Forum,NGOs and CSOs
FONDATION POUR L INSTITUT,NGOs and CSOs
International Council on Human Rights Policy,NGOs and CSOs
Multi-Donor Fund Facility for Disaster Recovery-Indonesia,Other multi
GESA -  Gesundheitshilfe Afghanistan e.V,Other
Den Norske Dommerforeningen,NGOs and CSOs
Matrix International,Other
Fondasyon Kole Zepol,NGOs and CSOs
Foro Femenino Ma Maeztu,Other
Groupement Ingenieria Estrella,Other
Religiosas Hermanas Terciarias,NGOs and CSOs
Accio Solidaria IGMAN,NGOs and CSOs
Religiosas Franciscanas Mision,NGOs and CSOs
Religiosas de Jesus-Maria,NGOs and CSOs
Donegal Peace Centre,Other
The International Barent secretary,Other multi
Association for Promoting Social Action,NGOs and CSOs
Den norske forfatterforening,NGOs and CSOs
International Cities of Refuge Network,NGOs and CSOs
LAG - Latin-Amerikagruppene i Norge,NGOs and CSOs
Developpement & Paix,NGOs and CSOs
Komitee Cap Anamur,NGOs and CSOs
FOCUS Humanitarian Aid,NGOs and CSOs
Reprise de Justesse,NGOs and CSOs
CARE Myanmar,NGOs and CSOs
Caucasus Environmental NGO Network,NGOs and CSOs
FAREM,Other
Northwest Woolen Mills,Other
Tulane University,NGOs and CSOs
Fundacion para la Libertad de Prensa,NGOs and CSOs
Radisson SAS,Other
Sherrit,Other
Medicuba en Salud,NGOs and CSOs
Universidad Central de Las Villas,Other
Hospital Hermanos Ameijeiras,NGOs and CSOs
ShelterBox,NGOs and CSOs
Handicap Atlas Logistique,NGOs and CSOs
NGO Fridsro,NGOs and CSOs
ACT Alliance / Lutheran Development Service,NGOs and CSOs
Catholic Development Commission,NGOs and CSOs
Development Aid from People to People,NGOs and CSOs
Katachel e.V,NGOs and CSOs
CMS Ireland,NGOs and CSOs
SANAD Charity Foundation,NGOs and CSOs
"Population Leadership Program, the University of Washington",NGOs and CSOs
Abyei Community Action for Development,NGOs and CSOs
Full Gospel Assemblies,NGOs and CSOs
International HIV/AIDS Alliance,NGOs and CSOs
Joint Saudi Committee for Kosovo Relief/Skopje,Public Sector
Sub-Saharan International Development Organization,Other
Sharek Youth Forum,NGOs and CSOs
Palestinian Farmers' Union,NGOs and CSOs
Development of Palestinian Farmer Association - Deir Albalah,Other
Agricultural and Environmental Development Society,Other
Society of Physically Handicapped People,Other
Ma'an,NGOs and CSOs
Presbyterian Church in Ireland,NGOs and CSOs
Natur Environments & Wildlife Society and Calcutta Foundation,Other
Arno Kobamaron CBO,Other
Malilangwe Trust,NGOs and CSOs
SC - Caritas,NGOs and CSOs
Advancement for Small Enterprise Programme,NGOs and CSOs
Rahmo Rehabilitation Organisation,NGOs and CSOs
SOHDO,Other
Water for Life,NGOs and CSOs
CCD,NGOs and CSOs
Tanad Relief and Development Organisation,NGOs and CSOs
Paroecia Latina S.Catharinae,Other
Coordinating Action on Small Arms,UN Multi
Greenshields Cowie,Other
Funksjonshemmedes fellesorganisasjon,NGOs and CSOs
La ligue dÈmocratique pour les droits de la femme,NGOs and CSOs
Millennium Relief and Development,NGOs and CSOs
Protracted Relief Programme Partners (Zimbabwe),NGOs and CSOs
ActionAid International Uganda,NGOs and CSOs
Soroti Catholic Diocese Integrated Development Organisation,NGOs and CSOs
Diocese of Gbarnga,NGOs and CSOs
VREDESEILANDEN,NGOs and CSOs
Youth Development and Voluntary Work Association,NGOs and CSOs
Aids Foundation for Children,Other
Afghanistan Landmine Survivors' Organisation,NGOs and CSOs
