Recipient.Organization,recipientcodename
Mission Austria - P‰pstliche Missionswerke in ˆsterreich,private individual/organisation
Bureau DiocÈsain de DÈveloppement de Kindu (BDD/KINDU),NGOs
CEMUBAC (Belgian medical NGO),NGOs
INDE - IntercooperaÁao e Desenvolvimento (Portuguese NGO),NGOs
GCIDS,other
DIA,other
Fˆnix Special Rescue Team,private individual/organisation
Sanitary of Epidemiological Station,other
United Nations Mediation Support Unit,UN Multi
United Nations Mine Action Coordination Center (DRC),UN Multi
Ministry of Rural Rehabilitation and Development Afghanistan,National government
UN Human Security Trust Fund,UN Multi
United Nations Committee on Missing Persons,UN Multi
Association pour la protection de l'enfant de la guerre,NGOs
Association Notre Dame de Protection,other
Association pour les enfants oubliÈs,other
PËre Jaar,other
UNITEC,other
ALDHU - Latin American Association for Human Rights,NGOs
Regional Centre Small Arms Light Weapons,private individual/organisation
UN Technical Cooperative Activities,UN Multi
Nobels Fredssenter,academia/think/research
Keren Hayesod,other
Peruvian Red Cross,red cross
World Research Foundation,foundations
Palestinakomiteen i Norge,NGOs
National Development Organization,other
ROKPA,NGOs
United Nations Humanitarian Information Centre,UN Multi
Solidarites-Belgium,NGOs
Association Internationale des Soldats de la Paix,NGOs
Syrian Orthodox Church,private individual/organisation
Diocese de Hwange,private individual/organisation
Custodia Franciscana en Tierra Santa,NGOs
Central Ecuatoriana de Servicios Agricolas,foundations
Trosgnistans Mission,NGOs
The Mission Covenant Church of Sweden,private individual/organisation
JP Morgan Chase,private sector corporations
International Center for Integrated Mountain Development,academia/think/research
"Seismic Research Unit, Univ. of West Indies",academia/think/research
Pan American Health and Education Foundation,foundations
Tzu Chi Foundation,foundations
"Episcopal Conference, Peru",academia/think/research
Saga Falabella,private sector corporations
Cooperation Andina de Fomento,Other multi
Missionnaires du Divin MaÓtre/Shabunda,other
Fondation Femmes plus,foundations
CRAFOD,NGOs
Chinese Community in Peru,other
Intl Humanitarian Org World View,NGOs
"National Fishery Society, Peru",private sector corporations
PUNTO SUD,academia/think/research
Santa Isabel Market,private sector corporations
Centre for Safety and Development,foundations
ADU_04,other
Docs Heal Africa,NGOs
DWF,other
Enfants des riziËres,NGOs
Gamarra's Merchant Commission,private sector corporations
International Partnership for Human Development,NGOs
UNDG Iraq Trust Fund,UN Multi
Andean Development Corporation,Other multi
Diplomatische Akademie Wien,academia/think/research
ACT Alliance / Diakonie Austria,NGOs
Luchetti,private sector corporations
Wadi,NGOs
BMaA,other
American Council for Voluntary International Action,NGOs
Fundacion Paz - Holandesa,foundations
KFUK/KFUM,NGOs
World Agency of Planetary Monitoring and Earthquake Risk Reduction,academia/think/research
PLANAT,DAC governments
AQUADEV,NGOs
Backus y Cervesur,private sector corporations
Diocese of Padang,private individual/organisation
Jairos Jiri Association,NGOs
St. Josephs Care and Support Trust at Sizanani Village,NGOs
Horizonte Logico,NGOs
University of Capetown,academia/think/research
Human Rights Watch,NGOs
CFD,other
DF Young Inc.,private sector corporations
Observatorio San Calixo,private individual/organisation
Centro d'Informazione e Educazione allo Sviluppo,NGOs
ALICORP,private sector corporations
Boston Archiepiscopal Diocese,private individual/organisation
Lima Airport Partners,private sector corporations
Peru Rail,private sector corporations
Peruvian Private Enterprise Colchones Paraiso,private sector corporations
Ripley,private sector corporations
VETAID,NGOs
Africa Muslims Agency (Johannesburg),NGOs
African Rescue Committee,NGOs
Humanitarian Action for Relief and Development Organisation,NGOs
Swedish Covenant Mission,NGOs
Association franÁaise pour la prÈvention des catastrophes naturelles,NGOs
Mission Armenia,private individual/organisation
Al Zubair Charity Organisation,NGOs
Oxford University,academia/think/research
Press Trust / IDI,other
"Universidad Nacional a Distancia, Costa Rica",academia/think/research
AGROSPHERE,NGOs
ASEP,other
The Sisters of Charity,NGOs
Consolata Sisters,private individual/organisation
Franciscan Missionary of Mary,private individual/organisation
GRT,other
SERVICE INT. POUR LES DROITS DE L HOMME,other
The Southasia Trust,private individual/organisation
Point of Peace,foundations
SERVICIO PAZ Y JUSTICIA,other
Coordinadora Nacional para la Reduccion de Desastres,National government
Sudan Social Development Organization,NGOs
"Central Asian Free Exchange, USA",NGOs
"Joint Development Associates, USA",NGOs
RCO,other
"Landsorganisasjonen i Norge, 3",private individual/organisation
Evangelical Fellowship of India Commission on Relief,private individual/organisation
Oxfam India,NGOs
Project Aparajita - VHAI,NGOs
Concern India,NGOs
Catholic Mission,private individual/organisation
Tambanevana Children's Association,other
Instituto Cabo Verdiano de Accao Social Escolar,academia/think/research
Taiwan Grassroots Women Workers' Centre,NGOs
ISP IN AFRICA,other
LH/ACT,other
Refugee Trust,NGOs
BlÈs du dÈsert,NGOs
Berkat,NGOs
Civic Assistance Committee,NGOs
Equilibre,foundations
"Zodiac of North America, Inc.",private sector corporations
Aviation Sans Frontieres France,NGOs
International Foundation for Education and Self Help,foundations
KESI,red cross
International Center for Agricultural Research in Dry Areas,academia/think/research
Alnour Wal Amal Association,NGOs
UN Mission in Sierra Leone,UN Multi
STCH,other
Energy Regulators Regional Association,private individual/organisation
Uzbekistan,National government
PSO,other
Chars Livelihoods Programme,NGOs
JAGAN. L.A.,other
Aerzte f¸r die Dritte Welt,NGOs
Estonian Public Service Academy,National government
ARESA,private sector corporations
The Church of Jesus Christ of Latter-Day Saints,private individual/organisation
Poland,DAC governments
Association Luxembourg PÈrou,NGOs
Public Accounts Committee,private individual/organisation
Christian Friends of Korea,NGOs
Medical Assistance Programs International,NGOs
Foundation Vida Peru,foundations
DROPS,NGOs
Saint Lucia,National government
World Vision Angola,NGOs
ACT Alliance / Christian Commission for Development in Bangladesh,NGOs
SIM Canada,NGOs
Singapore International Foundation,foundations
World Vision Hong Kong,NGOs
H¯yskolen i Buskerud,academia/think/research
Norway,DAC governments
De Norske Pinsemenigheters Ytremisjon,NGOs
CENTER FOR JUSTICE AND INT. LAW,NGOs
"Centre de Recherche en Astronomie, Astrophysique et Geophysique",academia/think/research
Samusocial Peru,NGOs
Citizens Network for Foreign Affairs,NGOs
Kings College London,academia/think/research
Cluster Munition Coalition,Other multi
Normeca AS,private sector corporations
Commission d'Entraide pour les Migrants et les Refugies International,NGOs
Agence d'Assistance aux Rapatries et Refugies au Congo,NGOs
Inglesia Morava,private sector corporations
Mision para Cristo,private individual/organisation
Norges Juristforbund,other
Samis,other
Thue & Selvaag AS,private sector corporations
Helse Bergen HF,academia/think/research
Psykisk Helsevern Ìòstfold HF v/ Norum,NGOs
Abo Akademi University,academia/think/research
"Steenfeldt-Foss, O. W.",other
Colombia Campaign to Ban Landmines,NGOs
"Sunnaas sykehus HF, Forskningsavdelingen",academia/think/research
Barneombudet,NGOs
Skeiv Solidaritet,NGOs
Evangelical Children Rehabilitation Programme,NGOs
Geneva Forum,UN Multi
Alola Foundation,NGOs
INST. UNIV. DE HAUTES ETUDES INT.,academia/think/research
Light Force International,NGOs
Lion Aid,NGOs
Humanitarian Aid Relief Trust,NGOs
Interpeace,other
Women for Women International,NGOs
Togo,National government
Koperativ Agrikol Tibiwon,other
GEAD,NGOs
OCHA NGO Funds,NGOs
Verein Lichtblick,NGOs
Italian Consortium of Solidarity,NGOs
Al Anbar Center for Humanitarian Relief,other
Todya Organization,other
Iraqi Relief Organisation,other
Al Afran Media and Culture,other
Sada Al Irak Organisation,NGOs
Charitable Society for Caring and Rehabilitation Iraqi Children,NGOs
Kids and Women Organization,other
Orphans and Divorced Rights Association,other
Foundation of the United for Relief and Adiding Development,other
Tammuz Organizataion for Social Development,NGOs
Democratic Iraqi Women Group,NGOs
Iraqi Southern Sun Association,other
Al-Yousser Organization for Assistance & Rehabilitation Assistance & Rehabilitation Assistance & Rehabilitation,other
New Iraqi Woman Organization,NGOs
The Iraqi International Association for Civil Society,other
Child's Earth Society in Iraq,NGOs
Coordination Institute Humanitarian,other
Human Right Center in Iraq,NGOs
Humanity Brotherhood Association  for Human Rights,Undefined
Disabled Children's Care Organization,NGOs
Shining Future Humanitarian Organization,NGOs
Knowledge for Iraqi Women Society,NGOs
University of Nebraska,academia/think/research
"Paradigm of Consciousness Ministries, Inc.",NGOs
SCD-RB,other
Organization for Security & Cooperation in Europe,Other multi
BID,private sector corporations
United Methodist Church,private individual/organisation
United Nations International Research and Training Institute for the Advance of Women,UN Multi
Catholic Commisssion for Justice and Peace,NGOs
DENAL,other
Irish Centre for Human Rights,academia/think/research
CINS -  Cooperazione Italiana Nord Sud,NGOs
CARE and SC/US,NGOs
Youth Alliance in Karamoja,NGOs
African Child Outreach Trust,NGOs
Emergency Action Uganda,other
Visions in Action,NGOs
International Institute of Rural Reconstruction,academia/think/research
Temele Development Organisation,NGOs
Dutch International Aid,DAC governments
MANNA,NGOs
Children's Fund of North Ossetia,NGOs
Key Stone,other
Schools Association for Formal Education,other
Somali Education and Health Organisation,NGOs
Private Voluntary Organizations,other
SC/US and World Vision,other
UN Committee on Missing Persons,UN Multi
UN Institute,UN Multi
Panzi Hospital,other
OXFAM Hong Kong,NGOs
Association of Chinese Evangelical Ministry Limited,other
Joint Mediation Support Team,other
Afghan Reconstruction Trust Fund,Other pooled
Danish Institute for Human Rights,academia/think/research
SANOFI,private sector corporations
Barbados,National government
Bhutan,National government
Gabon,National government
Swaziland,National government
Trinidad and Tobago,National government
Iraqi Youth League,NGOs
Cedar Fund,private sector corporations
Himalayan Human Rights Monitors,NGOs
"Institute of Human Rights Communication, Nepal",NGOs
Rural Reconstruction Nepal,academia/think/research
Hedwin Corporation,private sector corporations
"Pro Pac, Inc.",private sector corporations
Global Resource Services,NGOs
Miloserdie (Mercy),NGOs
Hunger Alert,NGOs
Hadia Medical,NGOs
FundaciÛn Apoyar,foundations
CHAINES,other
ZAYED Foundation,foundations
Sovereign Military Order of Malta,NGOs
Home for Human Rights,NGOs
Non Violent Peace Force Sri Lanka,other
Rural Development Foundation,foundations
Sewa Lanka Foundation,foundations
SOLIDAR INGO CONSORTIUM,NGOs
Global Rights,NGOs
Impact Forum Norway,NGOs
AGEF,NGOs
"International Pen, Writers in Prison Committee",private individual/organisation
Forsvarets forskningsinstitutt,DAC governments
Den norske Advokatforening,private individual/organisation
"Landsorganisasjonen i Norge, internasj. sekret.",other
Community Trust Fund,NGOs
CARITAS TCHUMBE,NGOs
Action pour le DÈveloppement IntÈgral au Kivu,NGOs
CESADEMA,other
Responsive,other
ASSOCIATION MEDICALE FRANCO-ASIATIQUE,NGOs
Candle Light,NGOs
ABC Children's Aid,NGOs
International Security Sector Advisory Team,academia/think/research
Front Line,NGOs
FED. I. D. Ligues/Droits l'homme,NGOs
NUPI - Norsk utenr.pol. inst.,academia/think/research
"GRONSUND, STEIN OVE",private individual/organisation
Netherlands Refugee Foundation,foundations
NTNU,academia/think/research
Regnskogfondet,foundations
African Commission Human and People's Rights,NGOs
Coordinating Committee for Coastal and Offshore Geo. Progr. in East Southeast Asia,Other multi
Documentation Center of  Cambodia,NGOs
The Bridge Fund,NGOs
Defense for Children International,NGOs
The Graduate Center,academia/think/research
International News Safety Institute,private individual/organisation
Just Associates,NGOs
Campagne Suisse Contre les Mines Antipersonnel,NGOs
Norfund,DAC governments
Transparencia Venezuela,NGOs
Centre d'action pour le dÈvÈloppement,academia/think/research
International Fund for Agricultural Development,UN Multi
Arts for Peace,NGOs
Volens,NGOs
Hopital sans FrontiËres,NGOs
Center for Human Rights and Democratic Participation,NGOs
European Children's Trust,NGOs
Coof Bamako,other
Solidarit‰t Dritte Welt,foundations
Stiftung Kasipiti,foundations
Verein f¸r Aufbauhilfe Tambanevana,private sector corporations
Coof Ouagadougou,other
Judicial System Monitoring Programme,other
Avocats Sans Frontieres,NGOs
Ba Futuru / For The Future,NGOs
Cluster Munitions Conference,other
Flakstad Kommune,other
IDE Myanmar,NGOs
China Association for NGO Cooperation,other
EDM,other
Comision EspanÙla de Ayuda al Refugiado,NGOs
Italian Agency for Food Aid (AGEA),DAC governments
Right to Live Society,NGOs
Faire Face,private individual/organisation
PARD,other
GAAC,other
Pentecostal Churches of Uganda,private individual/organisation
Linkage Trust,NGOs
FSS,foundations
FundaciÛn Mi Sangre,foundations
SAACID,NGOs
Asal Rural Development Organization,Other
ADRA/SCDO,NGOs
Avenir pour les orphelins au Burundi,NGOs
Global Humanitarian Forum,private individual/organisation
BDD BUKAVU,private individual/organisation
Action de lutte contre la pollution des sources et des puits,other
Centre de DÈveloppement IntÈgral (CDI/Yakoma),academia/think/research
Action pour le Bien Etre Communautaire (ABC),NGOs
CEDI,academia/think/research
ArmÈe du salut,NGOs
ATDL BUKAVU,other
CARITAS Mbandaka,NGOs
EAUR,other
DIOBASS,other
MAAMS,other
APPRONA,other
ISJ,other
Missionnaires du Divin MaÓtre,private individual/organisation
SADRI,other
Arche de l'Alliance,private individual/organisation
Pain Pour Les DÈshÈritÈs (PPLD),other
Unity and Cooperation for the Development of People,NGOs
ERF Recipients,Other pooled
Plan Timor-Leste,NGOs
Chreso Ministries,private individual/organisation
CHA - Coordination of Humanitarian Assistance,NGOs
Village Elders Group,other
Somali Community Literacy Center,NGOs
NIRAS,private sector corporations
Thai National AIDS Foundation,foundations
Janus e.V,NGOs
National Center for the Prevention of HIV/AIDS,other
Johor Community Development Committee for Women and Family Development,other
Kriminalomsorg.utdanningssent,other
H¯gskolen i Oslo,academia/think/research
BOLHISPANIA,private sector corporations
Thirst No More,NGOs
AMURT (Ananda Marga Universal Relief Team) (Switzerland),NGOs
FGMed,NGOs
German Development Service,other
Sudan ERF,CBPF
Kadugli Interfaith Coalition,private individual/organisation
Klaila Organisation,other
Sudan Aid,NGOs
Instituto de Estudios del Hambre,academia/think/research
Sawaid Health Organization,NGOs
Indesch Patenschaften,NGOs
World Humanitarian Forum,other
China Centre for Disease Control and ¬†Asia-Australia Mental Health,NGOs
Belun,other
"Ministry of Agriculture, Irrigation and Livestock Afghanistan",National government
Gemeinn¸tzige Entwicklungszusammenarbeit GmbH (GEZA),NGOs
Vereniging voor Personele Samenwerking Ontwikkelings-landen,NGOs
Life International,private individual/organisation
Lao Red Cross,red cross
STEP Afghanistan,other
CIMIR- Fred Polk,other
TrainAid International,NGOs
World Pharmacists,private individual/organisation
International Human Rights Law Group,NGOs
International Medical Support Services,private sector corporations
InterAct,NGOs
International Humanitarian Service,NGOs
CODEC,NGOs
Nepal ERF,Other
Swedish Tibetan Society for School & Culture,private individual/organisation
APEDE,other
The Hebrew University of Jerusalem,academia/think/research
Den norske Tibet-komite,other
Stichting World Federalist Movement,other
World Conference on Religions for Peace,other
SANAR YURDATAPAN  - FEA,other
Geneva Institute for Human Rights,academia/think/research
Kvekerhjelp,private individual/organisation
NÊringslivets Hovedorganisasjon,private individual/organisation
Norsk tamilsk helse organisasjon,other
Medical Relief Society,NGOs
Nordic Institute of Asian Studies,academia/think/research
Norges Fredslag,other
Comision de Derechos Humanos,NGOs
"Kjemisk Forbund, Palestinagruppene",other
EITI - Extractive Industry Transparency Initiative,Other multi
"Stavanger kommune, Litteraturfestivalen Kapittel06",other
Protos,NGOs
International Aid Hand,NGOs
Institute for International Co-operation and Development,NGOs
Association Humanitaire AKAMASOA,NGOs
Organization Catholique Pour la Promotion Humaine,NGOs
Valid Nutrition,NGOs
RCT,other
Open Doors,private individual/organisation
Archdiocese of Kisumu,private individual/organisation
Diocese of Eldoret,private individual/organisation
Catholic Diocese of Nakuru,private individual/organisation
EP-Team,other
Catholic Diocese of Kericho,private individual/organisation
PIAL,other
Council of Churches,private individual/organisation
Togolese Red Cross,red cross
Lms Water Systems (France),private sector corporations
PACT Myanmar,NGOs
ILR,DAC governments
Casals and Associates,private sector corporations
Deutscher Entwicklungsdienst,DAC governments
New Ireland PDC,Other multi
IICD - International Institute for Communication and Development,foundations
Institute of Development Studies,academia/think/research
Human Concern International,NGOs
Doctors Worldwide,NGOs
Official Development Assistance,other
CEVA Logistics,private sector corporations
Distribuidora Ambiente,other
"FRAZIMA, S.A.",private sector corporations
FONKOZE,NGOs
FUNDACION CIPPEC,foundations
AMMAN CENTER HUMAN RIGHTS STUDIES,academia/think/research
Caritas Jerusalem,NGOs
Rabbis for Human Rights,private individual/organisation
Mohamed Bin Rashid Al Maktoum Humanitarian and Charity Establishment,foundations
CARITAS MBUJIMAYI,NGOs
Muslim Aid and GlobalMedic,NGOs
Committee for the Palestinian Fund,other
American Charities for Palestine,NGOs
LIDEAS DRC,other
Steps International,other
Palestinian Peace Coalition,private individual/organisation
Centre spÈcialisÈ d'appui Ì† la promotion et Ì† la modernisation de l'ÈlÈvage,Undefined
Programme Against Malnutrition,Undefined
DryLands Coordination Group,private individual/organisation
CICERO,private sector corporations
World Vision Sri Lanka,NGOs
UniverSud-LiËge,academia/think/research
Enfance Tiers Monde asbl,NGOs
Swisspeace,academia/think/research
EQUITAS - International Centre for Human Rights Education,academia/think/research
Aramex International,private sector corporations
Rahma Islamic Relief Fund,NGOs
Verdens Barn,NGOs
FundaciÛn AMEPBO,other
Pakistansk Velferdsorganisasjon Norge,other
International Business Leaders Forum,private individual/organisation
FONDATION POUR L INSTITUT,foundations
International Council on Human Rights Policy,academia/think/research
Multi-Donor Fund Facility for Disaster Recovery-Indonesia,Other pooled
GESA -  Gesundheitshilfe Afghanistan e.V,other
Den Norske Dommerforeningen,private individual/organisation
Matrix International,private sector corporations
Fondasyon Kole Zepol,foundations
Foro Femenino Ma Maeztu,other
Groupement Ingenieria Estrella,other
Religiosas Hermanas Terciarias,private individual/organisation
Accio Solidaria IGMAN,NGOs
Religiosas Franciscanas Mision,private individual/organisation
Religiosas de Jesus-Maria,private individual/organisation
Donegal Peace Centre,other
The International Barent secretary,Other multi
Association for Promoting Social Action,NGOs
Den norske forfatterforening,private individual/organisation
International Cities of Refuge Network,private individual/organisation
LAG - Latin-Amerikagruppene i Norge,NGOs
Developpement & Paix,NGOs
Komitee Cap Anamur,NGOs
FOCUS Humanitarian Aid,NGOs
Reprise de Justesse,NGOs
CARE Myanmar,NGOs
Caucasus Environmental NGO Network,NGOs
FAREM,other
Northwest Woolen Mills,private sector corporations
Tulane University,academia/think/research
Fundacion para la Libertad de Prensa,NGOs
Radisson SAS,private sector corporations
Sherrit,private sector corporations
Medicuba en Salud,NGOs
Universidad Central de Las Villas,academia/think/research
Hospital Hermanos Ameijeiras,NGOs
ShelterBox,NGOs
Handicap Atlas Logistique,NGOs
NGO Fridsro,NGOs
ACT Alliance / Lutheran Development Service,NGOs
Catholic Development Commission,NGOs
Development Aid from People to People,NGOs
Katachel e.V,NGOs
CMS Ireland,NGOs
SANAD Charity Foundation,NGOs
"Population Leadership Program, the University of Washington",academia/think/research
Abyei Community Action for Development,NGOs
Full Gospel Assemblies,private individual/organisation
International HIV/AIDS Alliance,NGOs
Joint Saudi Committee for Kosovo Relief/Skopje,National government
Sub-Saharan International Development Organization,other
Sharek Youth Forum,NGOs
Palestinian Farmers' Union,NGOs
Development of Palestinian Farmer Association - Deir Albalah,other
Agricultural and Environmental Development Society,other
Society of Physically Handicapped People,other
Ma'an,private individual/organisation
Presbyterian Church in Ireland,NGOs
Natur Environments & Wildlife Society and Calcutta Foundation,other
Arno Kobamaron CBO,other
Malilangwe Trust,NGOs
SC - Caritas,NGOs
Advancement for Small Enterprise Programme,NGOs
Rahmo Rehabilitation Organisation,NGOs
SOHDO,other
Water for Life,NGOs
CCD,NGOs
Tanad Relief and Development Organisation,NGOs
Paroecia Latina S.Catharinae,other
Coordinating Action on Small Arms,UN Multi
Greenshields Cowie,private sector corporations
Funksjonshemmedes fellesorganisasjon,private individual/organisation
La ligue dÈmocratique pour les droits de la femme,NGOs
Millennium Relief and Development,NGOs
Protracted Relief Programme Partners (Zimbabwe),NGOs
ActionAid International Uganda,NGOs
Soroti Catholic Diocese Integrated Development Organisation,NGOs
Diocese of Gbarnga,private individual/organisation
VREDESEILANDEN,NGOs
Youth Development and Voluntary Work Association,NGOs
Aids Foundation for Children,other
Afghanistan Landmine Survivors' Organisation,NGOs
Milinda Moragoda institute for people's empowerment,academia/think/research
Sewalanka,NGOs
Industri Energi (fagforbundet),private individual/organisation
Pastoralist Integrated Support Programme,NGOs
Sterling Export Corp,private sector corporations
EU Special Representative,EC
Social Economical Environmental Developers,NGOs
Danish Fellowship Centre,DAC governments
Press Emblem Campaign,private individual/organisation
Swiss Campaign to Ban Landmines,NGOs
Institutt for Sosiologi og Samfunnsgeografi,academia/think/research
Survivor Corps,NGOs
Statens Forurensningstilsyn,DAC governments
"Frontiers, Ruwad Association",private individual/organisation
Norsk Vietnamesisk Senter,other
Centre de Recherche SantÈ,NGOs
World Education,NGOs
Global Alliance for Improved Nutrition,UN Multi
Guatemalan Red Cross,red cross
Central Social,other
MAPACT,other
Japan-ASEAN Integration Fund,other
Scandinavian Children's Mission,NGOs
Emergency Architects,NGOs
U.N. Mission in the Central African Republic and Chad (MINURCAT),UN Multi
MSZ,other
Small Arms Survey,academia/think/research
FundaciÛn Antonio Restrepo Barco,foundations
"Comite de crise ""Nyiragongo 2002""",National government
VAF - Verein f¸r Afghanistan Fˆrderung,NGOs
British Council,NGOs
SPDS,NGOs
KISIMA Peace and Development Organization,other
Child Development Foundation,foundations
L'Agora/Madani Dia,other
VISION,NGOs
Integrated Sustainable Livelihoods,other
Africa 2000 Network,NGOs
RECSASEC - Regional Centre on Small Arms and Light Weapons,private individual/organisation
Periodic Review  - TCG,private individual/organisation
Groupe de Recherche et d'Echanges Technologiques,private individual/organisation
Myanmar Business Coalition on AIDS,NGOs
North-South Institute,academia/think/research
Moravian Church,private individual/organisation
African Union Mission in Somalia,Other multi
Edinburgh Direct Aid,NGOs
World Congress Against the Death Penalty,academia/think/research
International Commission Against Impunity,Other multi
Chora - Organisation Tchadienne pour le DÈveloppement,Other
Child Advocacy International,NGOs
The Mosaic Religious Community,private individual/organisation
Auschwitz-Birkenau Foundation,foundations
Red Cross of Cape Verde,red cross
"QED Limited, LLC",private sector corporations
SOS Futures Maman,NGOs
PEGASE,EC
Manitoba Council for International Co-operation,NGOs
British Airways,private sector corporations
US Fund for UNICEF,NGOs
Share our Strength,private individual/organisation
ChaÓne du Bonheur,other
Clinton Bush Haiti Fund,private individual/organisation
Aide Ì† l'Enfance de Canada,NGOs
Global Links,other
Feed My Starving Children,NGOs
MINUSTAH,UN Multi
Operation Helping Hand of Tampa,private individual/organisation
USA Friends of WFP,NGOs
GEA Society,private individual/organisation
RCN Justice Democratie,NGOs
"Association de soutien aux refugies, aux personnes deplacees et aux detenus",other
Kids in Distressed Situations,private individual/organisation
University of Miami,academia/think/research
MAXIMUS,private sector corporations
Cumberland Pharmaceuticals Inc,private sector corporations
Yele Haiti Foundation,NGOs
Afghan Health and Social Assistance Organisation,NGOs
Brother's Brother Foundation,foundations
American Institutes for Research,academia/think/research
Associates in Rural Development,private sector corporations
Afghanistan Solidarity Organization,NGOs
Lambi Fund of Haiti,other
Feed the Children,NGOs
Fray Rene Giroux Mission,other
GRSP - Ghazni Rural Support Program - Afghanistan,NGOs
Global H20,NGOs
Meds & Food for Kids,NGOs
Convoy of Hope,NGOs
Walmart Foundation,foundations
ANGLO AMERICAN PLC,private sector corporations
Medishare,private individual/organisation
Petits FrËres et Soeurs,private individual/organisation
SMU - Strategic Monitoring Unit (Afghanistan),UN Multi
FedEx,private sector corporations
Philani Maswati Organization,private individual/organisation
Mine Action Programme for Afghanistan,other
International Telecommunications Union,UN Multi
Wereld-missiehulp,private individual/organisation
IBN SINA,private sector corporations
ISS - Institute for Security Studies,academia/think/research
Reporters Sans FrontiËres,NGOs
Collectif HaÔti de France,NGOs
Association Fraternite Universelle,private individual/organisation
International Movement ATD Fourth World,NGOs
MÈdecins du Monde Greece,NGOs
National Integrated Development Agency,NGOs
ISRA - Islamic Relief Agency,NGOs
IDDEALES,private individual/organisation
AÌèNA (Afghanistan),NGOs
ACU/START,other
Pharmaciens et Aide humanitaire,private individual/organisation
Fuel Relief Fund,NGOs
St. Damien Hospital,other
Haitian Women of Miami,private sector corporations
International Planned Parenthood Federation Western Hemisphere Region,NGOs
Clinton Foundation,foundations
Association of Evangelicals in Africa,other
CPR Savers and First Aid Supply,private sector corporations
"Interstate Products, Inc",private sector corporations
Afrique Verte Niger,NGOs
IgarapÈ,National government
Samisk H¯gskole,academia/think/research
Media21,private sector corporations
Entrepreneurs du Monde,NGOs
Floresta Ayiti [Plant With Purpose],private individual/organisation
CitiHope International,NGOs
Fondation Orient Occident,NGOs
Global Hope Network International,NGOs
Care Sudan,NGOs
Marie Stopes International,NGOs
Social Solidarity Organisation,private individual/organisation
Nomads Development and Environmental Conservation,other
Hakima,other
Nuba Mountains International Association for Development,NGOs
Afghan Development Association,NGOs
Active in Development Aid,NGOs
Gender Education Empowerment and Leadership Organization,other
Service Health Relief Development Organization,private individual/organisation
SWISSAID,NGOs
Bilkent Holding,private sector corporations
ERIC,NGOs
Universidad de Chile,academia/think/research
Vamos Adelante,NGOs
CONCORD,NGOs
Ibon Foundation,foundations
United Nations Political Office for Somalia,UN Multi
Sharukhi Rehabilitation Project,other
Zafar Cooperation Organization,NGOs
Global Initiative to End All Corporal Punishment of Children,other
United Nations Office of Legal Affairs,UN Multi
Fundacion Imagina,foundations
Double Harvest,NGOs
Red Crescent Society of Uzbekistan,red cross
Dinah Falala & Phoebe Sandi Foundation,foundations
African Development and Emergency Organisation,NGOs
Aamin Organization,NGOs
Techno Plan,private sector corporations
Hiran Water Supply and Community Development Organisation,private individual/organisation
Centrum voor Afrikaanse Cultuur,academia/think/research
Mubarak for Relief and Development Organization,NGOs
Comitato Europeo per la Formazione in Agricoltura,NGOs
"IRIS KIM, Inc.",private sector corporations
Karda Systems,private sector corporations
Community Foundation of Broward,foundations
Holt International Childrens Services,NGOs
Finca,other
"SociÈtÈ GÈnÈrale de SolidaritÈ, S.A.",foundations
Abraham's Oasis,NGOs
Red Cross Society of the Republic of Moldova,red cross
International Peace and Cooperation Center (IPCC),NGOs
NiÒos de la Tierra,private individual/organisation
FIDCON,private individual/organisation
Future of Orphans,NGOs
PRIMA SYNERGIE,other
Actions pour le Developpement Integre en Mileu Rural,NGOs
CARITAS DUNGU,NGOs
Centre pour la Promotion de la Sante,academia/think/research
Appui aux Initiatives de Bien Etre Familial,other
BEPROD,private sector corporations
NinÙs del Cusco,NGOs
Aid for Refugees and Orphans,NGOs
Mercy Relief,NGOs
Latter-Day Saint Charities,private individual/organisation
Consortium of British Humanitarian Agencies,NGOs
InfoAsAid,private individual/organisation
Cchin HR Organization,other
Clowns without Borders,NGOs
Helping Hands,private sector corporations
"Nuba Mountain Relief, Rehabilitation and Development Organization",NGOs
Ngazi Moja Foundation,foundations
Aragti Relief and Development Organization,NGOs
ICASE,private individual/organisation
National Commission for Human Development,private individual/organisation
Arab Physicians Federation,private individual/organisation
Stockholm International Peace Research Institute,academia/think/research
Universidad Nacional Autonoma de Honduras,academia/think/research
Heilsarmee,private individual/organisation
Afghan Mobile Reconstruction Association,NGOs
SKUPAJ,foundations
Solidar,NGOs
Indus Resource Centre,private sector corporations
Association for Humanity Development,other
LSQC,other
SolidaritÈ Syndicale - Luxembourg,NGOs
TECHO,NGOs
Pakistan Association  in Dubai,private individual/organisation
ACH-UK/INTERMON,other
Bright Future Organization,NGOs
PAIMAN Alumni Trust,other
Response International,NGOs
Rural Development Project,private individual/organisation
Society for Sustainable Development,other
Strengthening Participatory Organization,private individual/organisation
Taraqee Foundation,foundations
Southern Alliance for Indigenous Resources,NGOs
ZACF,private individual/organisation
Mobilink Foundation,foundations
Access Aid and Development,NGOs
Al-Khidmat Foundation,foundations
STC SW,other
International Action Network on Small Arms,NGOs
World Organisation Against Torture,NGOs
Dag Hammarskjold Scholarship Fund for Journalists,other
Fazilia Trust Pakistan,other
Senter for Krisepsykologi,academia/think/research
The Fund for Peace,foundations
